filename,session_root,fixation_type,cell_type,em_filter_nm,pockels,acquisition_time,fit_set_key,fit_mask_path,n_components,n_px_total,n_px_final,pct_final,tau_mean_median_ps,tau_mean_mean_ps,tau_mean_std_ps,tau_mean_cv,amp_ratio_median,amp_ratio_mean,amp_ratio_std,amp_ratio_cv
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0000.sdt,20260501_KPC_fixed_dishes_on_SLIM,glu,KPCWT,457,0.2,2026-05-02 02:36:55.037235,20260501_KPC_fixed_dishes_on_SLIM::batch1\fitet-sz-c3-b7::3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0000,E:\18_RK_Circadian\data\raw\20260501_KPC_fixed_dishes_on_SLIM\batch1\fitet-sz-c3-b7\3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0000_fit_mask.npy,3,65536,56002,85.5,712.2280839449973,712.1455697411365,40.166136970261,0.05640158231253382,3.1872967095692784,3.1903556296407496,0.39251412186579765,0.1230314633951942
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0001.sdt,20260501_KPC_fixed_dishes_on_SLIM,glu,KPCWT,457,0.2,2026-05-02 02:38:03.106658,20260501_KPC_fixed_dishes_on_SLIM::batch1\fitet-sz-c3-b7::3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0001,E:\18_RK_Circadian\data\raw\20260501_KPC_fixed_dishes_on_SLIM\batch1\fitet-sz-c3-b7\3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0001_fit_mask.npy,3,65536,65147,99.4,711.8209317793214,711.2836201514647,33.82170896318238,0.04755024297618466,3.2453288623467103,3.2447386719539115,0.3109720055591422,0.09583884466476357
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0002.sdt,20260501_KPC_fixed_dishes_on_SLIM,glu,KPCWT,457,0.2,2026-05-02 02:39:11.503284,20260501_KPC_fixed_dishes_on_SLIM::batch1\fitet-sz-c3-b7::3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0002,E:\18_RK_Circadian\data\raw\20260501_KPC_fixed_dishes_on_SLIM\batch1\fitet-sz-c3-b7\3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0002_fit_mask.npy,3,65536,64579,98.5,699.2132237124147,699.5998217742368,36.45805811041308,0.05211273213013798,3.307007666322171,3.3035290300164744,0.327058403730624,0.09900273336753242
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0003.sdt,20260501_KPC_fixed_dishes_on_SLIM,glu,KPCWT,457,0.2,2026-05-02 02:40:20.221795,20260501_KPC_fixed_dishes_on_SLIM::batch1\fitet-sz-c3-b7::3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0003,E:\18_RK_Circadian\data\raw\20260501_KPC_fixed_dishes_on_SLIM\batch1\fitet-sz-c3-b7\3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0003_fit_mask.npy,3,65536,63681,97.2,698.842452733106,699.6354695515904,45.15012281338924,0.06453378191692712,3.303202912820242,3.3145735093697724,0.42178947067542905,0.1272530144475895
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0004.sdt,20260501_KPC_fixed_dishes_on_SLIM,glu,KPCWT,457,0.2,2026-05-02 02:41:28.626858,20260501_KPC_fixed_dishes_on_SLIM::batch1\fitet-sz-c3-b7::3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0004,E:\18_RK_Circadian\data\raw\20260501_KPC_fixed_dishes_on_SLIM\batch1\fitet-sz-c3-b7\3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0004_fit_mask.npy,3,65536,65249,99.6,695.1108456498329,696.4497617569124,34.063399421450946,0.04891005969406933,3.3637369440090614,3.354859241306149,0.2922175695935784,0.0871027809440402
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0005.sdt,20260501_KPC_fixed_dishes_on_SLIM,glu,KPCWT,457,0.2,2026-05-02 02:42:37.310515,20260501_KPC_fixed_dishes_on_SLIM::batch1\fitet-sz-c3-b7::3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0005,E:\18_RK_Circadian\data\raw\20260501_KPC_fixed_dishes_on_SLIM\batch1\fitet-sz-c3-b7\3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0005_fit_mask.npy,3,65536,25857,39.5,713.4954741485122,715.6411645630202,50.46837339897708,0.07052189826139155,3.2479925520772723,3.2289062120365326,0.451906134427626,0.13995641395313252
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0006.sdt,20260501_KPC_fixed_dishes_on_SLIM,glu,KPCWT,457,0.2,2026-05-02 02:43:45.975055,20260501_KPC_fixed_dishes_on_SLIM::batch1\fitet-sz-c3-b7::3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0006,E:\18_RK_Circadian\data\raw\20260501_KPC_fixed_dishes_on_SLIM\batch1\fitet-sz-c3-b7\3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0006_fit_mask.npy,3,65536,39141,59.7,725.3525793238983,725.9850500966083,50.885793004093415,0.07009206731918506,3.1211168662585744,3.131923912092008,0.4309907348917189,0.13761213458210522
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0007.sdt,20260501_KPC_fixed_dishes_on_SLIM,glu,KPCWT,457,0.2,2026-05-02 02:44:55.968385,20260501_KPC_fixed_dishes_on_SLIM::batch1\fitet-sz-c3-b7::3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0007,E:\18_RK_Circadian\data\raw\20260501_KPC_fixed_dishes_on_SLIM\batch1\fitet-sz-c3-b7\3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0007_fit_mask.npy,3,65536,39426,60.2,715.8062855255482,719.1976590760727,53.91930008906986,0.07497146216846429,3.1760991227198634,3.1774430730648002,0.48271869589293803,0.15192048599861527
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0008.sdt,20260501_KPC_fixed_dishes_on_SLIM,glu,KPCWT,457,0.2,2026-05-02 02:46:04.526301,20260501_KPC_fixed_dishes_on_SLIM::batch1\fitet-sz-c3-b7::3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0008,E:\18_RK_Circadian\data\raw\20260501_KPC_fixed_dishes_on_SLIM\batch1\fitet-sz-c3-b7\3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0008_fit_mask.npy,3,65536,65052,99.3,710.0757880768707,712.0585753381687,38.58879436008852,0.05419328647472864,3.1744759344472033,3.1891509928255917,0.3514309471355603,0.11019576932109823
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0009.sdt,20260501_KPC_fixed_dishes_on_SLIM,glu,KPCWT,457,0.2,2026-05-02 02:47:13.634270,20260501_KPC_fixed_dishes_on_SLIM::batch1\fitet-sz-c3-b7::3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0009,E:\18_RK_Circadian\data\raw\20260501_KPC_fixed_dishes_on_SLIM\batch1\fitet-sz-c3-b7\3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_457s50_g70_z1_256pix_basicFLIM_120f_0009_fit_mask.npy,3,65536,60099,91.7,703.751478092436,703.7048672607315,38.03505454262466,0.05404972498013459,3.271020730442322,3.2563029677703175,0.3752569394784075,0.1152401797967087
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0000.sdt,20260501_KPC_fixed_dishes_on_SLIM,glu,KPCWT,535,0.2,2026-05-02 02:49:29.961571,20260501_KPC_fixed_dishes_on_SLIM::batch1\fitet-sz-c3-b7::3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0000,E:\18_RK_Circadian\data\raw\20260501_KPC_fixed_dishes_on_SLIM\batch1\fitet-sz-c3-b7\3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0000_fit_mask.npy,3,65536,51728,78.9,787.6324749725086,785.2907392823203,39.30208821345576,0.05004781827603629,2.1843561558281865,2.2111078878095833,0.3577748402321286,0.16180795256741426
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0001.sdt,20260501_KPC_fixed_dishes_on_SLIM,glu,KPCWT,535,0.2,2026-05-02 02:50:38.371304,20260501_KPC_fixed_dishes_on_SLIM::batch1\fitet-sz-c3-b7::3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0001,E:\18_RK_Circadian\data\raw\20260501_KPC_fixed_dishes_on_SLIM\batch1\fitet-sz-c3-b7\3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0001_fit_mask.npy,3,65536,45782,69.9,806.8401497056906,803.5646337144407,35.04486700924825,0.043611758829224426,2.0968166355745366,2.122319599954211,0.28266881365443086,0.13318861761467474
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0002.sdt,20260501_KPC_fixed_dishes_on_SLIM,glu,KPCWT,535,0.2,2026-05-02 02:51:46.988245,20260501_KPC_fixed_dishes_on_SLIM::batch1\fitet-sz-c3-b7::3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0002,E:\18_RK_Circadian\data\raw\20260501_KPC_fixed_dishes_on_SLIM\batch1\fitet-sz-c3-b7\3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0002_fit_mask.npy,3,65536,40189,61.3,787.8090282829991,785.5200429236241,38.702901649596484,0.04927041900235708,2.1300765531903245,2.151503417582249,0.32672076516720605,0.15185695848643288
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0003.sdt,20260501_KPC_fixed_dishes_on_SLIM,glu,KPCWT,535,0.2,2026-05-02 02:52:55.720882,20260501_KPC_fixed_dishes_on_SLIM::batch1\fitet-sz-c3-b7::3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0003,E:\18_RK_Circadian\data\raw\20260501_KPC_fixed_dishes_on_SLIM\batch1\fitet-sz-c3-b7\3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0003_fit_mask.npy,3,65536,64387,98.2,783.5037890391754,782.291516546412,44.82574651674607,0.05730056579756689,2.1523510603479385,2.1774611095871856,0.37086187887383293,0.17031848570840508
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0004.sdt,20260501_KPC_fixed_dishes_on_SLIM,glu,KPCWT,535,0.2,2026-05-02 02:54:04.579098,20260501_KPC_fixed_dishes_on_SLIM::batch1\fitet-sz-c3-b7::3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0004,E:\18_RK_Circadian\data\raw\20260501_KPC_fixed_dishes_on_SLIM\batch1\fitet-sz-c3-b7\3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0004_fit_mask.npy,3,65536,30811,47.0,797.2773391823855,793.5539868768707,36.626153063387186,0.04615458263593875,2.147380988400381,2.163435909857926,0.2712967799109727,0.12540088600488694
3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0005.sdt,20260501_KPC_fixed_dishes_on_SLIM,glu,KPCWT,535,0.2,2026-05-02 02:55:13.659638,20260501_KPC_fixed_dishes_on_SLIM::batch1\fitet-sz-c3-b7::3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0005,E:\18_RK_Circadian\data\raw\20260501_KPC_fixed_dishes_on_SLIM\batch1\fitet-sz-c3-b7\3_KPCWT0430glu10min_740nm_3024mW_u1_poc0p2_20x0p75NA_535s50_g70_z1_256pix_basicFLIM_120f_0005_fit_mask.npy,3,65536,33418,51.0,804.5650213267963,804.4316437746486,53.84471706825478,0.06693510565496688,2.071494835920185,2.1035133631913197,0.41573195707300925,0.19763694604834198
